"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/06/2022","25.789,80","25.238,60","26.417,40","25.226,10","","2,18%"
"14/06/2022","25.238,60","25.856,80","25.952,70","25.116,20","","-2,44%"
"13/06/2022","25.870,70","26.971,10","26.971,10","25.769,80","","-4,78%"
"10/06/2022","27.169,50","27.149,00","27.706,70","26.951,10","","-2,30%"
"09/06/2022","27.808,60","28.557,20","28.562,20","27.759,70","","-3,08%"
"08/06/2022","28.692,10","29.237,80","29.237,80","28.681,10","","-2,42%"
"07/06/2022","29.403,30","29.149,90","29.493,70","28.480,30","","-0,99%"
"06/06/2022","29.696,60","28.649,20","29.895,00","28.550,20","","5,94%"
"03/06/2022","28.032,50","28.032,50","28.032,50","28.032,50","","0,00%"
"01/06/2022","28.032,50","28.246,40","28.610,20","27.467,80","","-0,34%"
"31/05/2022","28.129,50","29.149,90","29.264,80","28.080,00","","-3,83%"
"30/05/2022","29.249,80","29.442,70","30.507,20","28.893,00","","3,52%"
"27/05/2022","28.255,40","27.076,00","28.965,00","27.048,00","","4,68%"
"26/05/2022","26.992,10","26.432,40","27.754,70","26.325,50","","1,34%"
"25/05/2022","26.635,30","26.155,50","26.713,20","25.943,70","","0,83%"
"24/05/2022","26.415,40","26.657,30","26.772,20","26.135,60","","-3,74%"
"23/05/2022","27.441,80","26.404,40","27.771,60","25.968,70","","-13,88%"
"29/04/2022","31.864,40","32.893,90","33.056,80","31.670,10","","-3,35%"
"28/04/2022","32.967,80","33.260,70","33.429,60","32.880,90","","-1,60%"
"27/04/2022","33.502,50","33.165,70","33.815,40","32.967,80","","1,16%"
"26/04/2022","33.119,80","32.690,00","33.256,20","32.473,10","","1,61%"
"25/04/2022","32.594,00","32.324,20","33.141,70","32.223,30","","-1,71%"
"22/04/2022","33.161,70","33.762,40","33.990,80","33.014,80","","17,22%"
"22/03/2022","28.290,90","28.209,40","28.290,90","28.209,40","","-54,16%"
"11/03/2022","61.714,40","61.714,40","61.714,40","61.714,40","","0,00%"
"08/03/2022","61.714,40","49.248,40","61.972,30","47.414,50","","23,98%"
"07/03/2022","49.779,30","29.104,50","50.478,70","29.104,50","","69,91%"
"04/03/2022","29.297,90","27.042,10","30.301,80","27.042,10","","7,46%"
"03/03/2022","27.263,00","25.949,20","27.913,60","25.944,70","","4,73%"
"02/03/2022","26.032,00","25.256,00","26.491,00","25.117,50","","3,23%"
"01/03/2022","25.218,10","24.270,60","25.258,10","24.257,60","","4,67%"
"28/02/2022","24.092,70","24.180,70","24.949,80","23.925,80","","-0,50%"
"25/02/2022","24.212,70","24.463,00","24.655,40","23.861,90","","1,18%"
"24/02/2022","23.930,80","24.455,00","25.672,90","23.882,80","","-2,14%"
"23/02/2022","24.455,00","24.520,00","24.800,30","24.224,70","","-0,27%"
"22/02/2022","24.522,00","24.369,60","25.109,20","24.342,60","","0,83%"
"21/02/2022","24.321,10","24.120,70","24.579,50","23.860,40","","0,63%"
"18/02/2022","24.167,70","23.807,40","24.237,70","23.800,40","","1,07%"
"17/02/2022","23.910,80","23.466,60","24.010,80","23.218,20","","2,16%"
"16/02/2022","23.405,60","23.257,70","23.560,00","23.195,70","","0,62%"
"15/02/2022","23.261,20","23.206,70","23.502,10","22.733,00","","0,49%"
"14/02/2022","23.147,30","23.200,20","23.821,40","22.895,40","","0,66%"
"11/02/2022","22.995,30","23.187,70","23.523,00","22.794,90","","-1,60%"
"10/02/2022","23.368,10","23.261,70","23.763,90","23.180,70","","0,39%"
"09/02/2022","23.277,20","22.672,00","23.315,20","22.661,50","","2,64%"
"08/02/2022","22.678,50","23.379,60","23.403,10","22.406,70","","-3,03%"
"07/02/2022","23.386,10","22.884,40","23.659,00","22.610,50","","1,85%"
"04/02/2022","22.962,40","22.848,40","22.971,40","22.704,00","","0,64%"
"03/02/2022","22.817,40","22.817,40","22.868,40","22.661,50","","0,14%"
"02/02/2022","22.786,50","22.780,00","22.872,40","22.536,60","","0,07%"
"01/02/2022","22.771,50","22.265,70","22.906,40","22.237,80","","2,12%"
"31/01/2022","22.297,70","22.124,80","22.594,60","21.858,00","","0,41%"
"28/01/2022","22.206,80","22.364,20","22.465,60","22.176,80","","-1,03%"
"27/01/2022","22.437,60","22.498,60","22.750,50","22.236,80","","-1,46%"
"26/01/2022","22.769,50","22.363,70","22.869,40","22.266,70","","1,88%"
"25/01/2022","22.348,70","22.503,60","22.593,60","21.945,90","","-0,62%"
"24/01/2022","22.488,60","24.106,70","24.106,70","22.101,80","","-6,72%"
"21/01/2022","24.109,70","23.647,00","24.320,60","23.367,10","","1,11%"
"20/01/2022","23.844,90","23.104,80","24.407,10","23.102,80","","3,01%"
"19/01/2022","23.147,30","22.124,80","23.204,20","22.094,30","","5,05%"
"18/01/2022","22.034,90","22.083,30","22.437,60","21.925,90","","-0,24%"
"17/01/2022","22.087,80","22.167,80","22.260,70","21.702,00","","-0,28%"
"14/01/2022","22.148,80","22.039,90","22.911,40","21.784,00","","-0,02%"
"13/01/2022","22.152,80","21.952,40","22.184,80","21.688,10","","0,93%"
"12/01/2022","21.947,90","21.782,50","22.721,50","21.612,10","","0,69%"
"11/01/2022","21.797,00","20.755,60","21.818,00","20.755,60","","5,02%"
"10/01/2022","20.755,60","20.718,60","20.965,50","20.656,60","","0,20%"
"07/01/2022","20.713,60","20.338,80","20.757,60","20.330,80","","1,71%"
"06/01/2022","20.365,80","20.565,70","20.591,70","20.151,90","","-1,28%"
"05/01/2022","20.630,60","21.043,40","21.058,90","20.446,70","","-1,99%"
"04/01/2022","21.050,40","20.788,60","21.128,40","20.514,70","","5,10%"
